# zLya k PLya stat Pnoise PSB
3.2 0.01355 21.4331 0.41375 8.97352 1.53524
3.2 0.014092 21.0148 0.423033 9.69335 1.51602
3.2 0.014634 19.1369 0.405221 10.5099 1.49377
3.2 0.015176 18.8757 0.411432 11.4161 1.4732
3.2 0.015718 18.2355 0.437534 12.4617 1.45962
3.2 0.01626 17.8533 0.428371 13.6253 1.45878
3.2 0.016802 18.1399 0.439744 15.1733 1.47659
3.2 0.017344 16.8436 0.490065 16.729 1.51892
3.2 0.017886 15.3216 0.476098 18.4901 1.59124
3.2 0.018428 15.5187 0.520983 20.5322 1.69835
3.2 0.01897 16.0483 0.562162 22.8606 1.84396
3.2 0.019512 15.6014 0.585342 25.9072 2.03032
3.4 0.001084 66.8643 1.20662 4.69148 4.15948
3.4 0.001626 60.0902 1.05401 4.72286 3.53097
3.4 0.002168 60.0943 1.02805 4.76507 2.98123
3.4 0.00271 56.11 1.0028 4.83735 2.51182
3.4 0.003252 51.8241 0.926695 4.90556 2.12172
3.4 0.003794 47.9506 0.81902 4.99866 1.80779
3.4 0.004336 45.6975 0.774383 5.11346 1.56516
3.4 0.004878 43.6089 0.771657 5.2439 1.38762
3.4 0.00542 42.8271 0.711182 5.38984 1.26796
3.4 0.005962 41.7298 0.745474 5.56315 1.19831
3.4 0.006504 36.8717 0.623433 5.75462 1.17043
3.4 0.007046 34.3304 0.628654 5.98305 1.17599
3.4 0.007588 36.6237 0.713405 6.29403 1.20684
3.4 0.00813 36.3243 0.690452 6.47003 1.25518
3.4 0.008672 33.018 0.618241 6.76799 1.31381
3.4 0.009214 32.5204 0.752908 7.11611 1.37627
3.4 0.009756 29.565 0.587465 7.35046 1.43697
3.4 0.010298 30.3345 0.599963 7.74637 1.49133
3.4 0.01084 29.349 0.599024 8.20508 1.53584
3.4 0.011382 27.2904 0.58009 8.71435 1.56813
3.4 0.011924 28.4947 0.619492 9.24923 1.58701
3.4 0.012466 26.5539 0.591404 9.8981 1.59243
3.4 0.013008 26.2668 0.597319 10.5962 1.5855
3.4 0.01355 24.2877 0.584208 11.3892 1.5684
3.4 0.014092 26.0443 0.639579 12.2652 1.54431
3.4 0.014634 24.861 0.585647 13.2546 1.51728
3.4 0.015176 23.1468 0.624544 14.3989 1.49212
3.4 0.015718 23.1603 0.644593 15.6012 1.47418
3.4 0.01626 22.1001 0.655411 17.0481 1.46916
3.4 0.016802 21.6305 0.652484 18.7953 1.48292
3.4 0.017344 21.0645 0.707566 20.7281 1.52116
3.4 0.017886 21.0449 0.777553 22.8655 1.58916
3.4 0.018428 19.2279 0.790519 25.2791 1.69142
3.4 0.01897 19.1709 0.857607 28.0654 1.83137
3.4 0.019512 17.7882 0.816012 31.3651 2.01093
3.6 0.001084 72.9109 1.79453 4.93985 3.78452
3.6 0.001626 69.0507 1.66628 4.9726 3.2193
3.6 0.002168 67.2801 1.67054 5.01567 2.72367
3.6 0.00271 69.8496 1.7 5.08965 2.29951
3.6 0.003252 62.3913 1.49754 5.14784 1.94634
3.6 0.003794 57.9024 1.4424 5.26137 1.66173
3.6 0.004336 52.7314 1.27155 5.36508 1.44162
3.6 0.004878 51.1432 1.27772 5.4904 1.28066
3.6 0.00542 50.3745 1.21463 5.60062 1.17258
3.6 0.005962 48.4219 1.26272 5.8198 1.11038
3.6 0.006504 45.8112 1.14517 5.94442 1.0867
3.6 0.007046 41.8458 1.04704 6.24985 1.09403
3.6 0.007588 42.4986 1.20935 6.41874 1.12495
3.6 0.00813 41.0875 1.14848 6.73603 1.17231
3.6 0.008672 40.8295 1.03108 7.04598 1.22948
3.6 0.009214 39.7757 1.25307 7.31843 1.29044
3.6 0.009756 35.7352 1.00181 7.60907 1.34997
3.6 0.010298 34.0864 1.01041 8.04503 1.40375
3.6 0.01084 34.6954 0.993917 8.49251 1.44844
3.6 0.011382 34.3442 1.00378 9.04539 1.48174
3.6 0.011924 31.846 0.963432 9.54899 1.50245
3.6 0.012466 31.0784 0.967316 10.1953 1.51046
3.6 0.013008 30.1054 0.92565 10.9114 1.50674
3.6 0.01355 30.8737 0.946603 11.6714 1.49332
3.6 0.014092 29.1042 1.04085 12.5855 1.47315
3.6 0.014634 28.1993 0.979225 13.6065 1.45009
3.6 0.015176 28.5135 1.01421 14.6707 1.42871
3.6 0.015718 27.3703 1.03734 16.0029 1.41416
3.6 0.01626 26.3427 1.01232 17.2777 1.41197
3.6 0.016802 25.2193 1.06008 18.8235 1.42784
3.6 0.017344 26.072 1.11124 20.8717 1.46736
3.6 0.017886 25.0326 1.09842 22.8739 1.53576
3.6 0.018428 24.0039 1.17287 25.3954 1.63759
3.6 0.01897 24.4712 1.2705 28.1445 1.77632
3.6 0.019512 25.5533 1.43975 30.9434 1.95401
3.8 0.001084 87.6711 3.33874 5.24071 3.68523
3.8 0.001626 84.451 3.25618 5.28591 3.16571
3.8 0.002168 88.5912 3.41257 5.34324 2.7043
3.8 0.00271 75.4221 2.94115 5.38512 2.30494
3.8 0.003252 73.6491 3.06564 5.47915 1.96927
3.8 0.003794 72.8752 2.69868 5.56404 1.69687
3.8 0.004336 64.5885 2.49683 5.69905 1.48551
3.8 0.004878 58.3808 2.2908 5.83124 1.33151
3.8 0.00542 61.2556 2.34918 5.95792 1.22991
3.8 0.005962 60.283 2.32915 6.22568 1.17483
3.8 0.006504 55.1476 2.18836 6.38102 1.15965
3.8 0.007046 51.7574 2.14833 6.66063 1.17736
3.8 0.007588 50.9008 2.20601 6.93833 1.22073
3.8 0.00813 49.8802 2.0903 7.20077 1.2826
3.8 0.008672 44.7375 1.83702 7.49297 1.35606
3.8 0.009214 44.9235 2.29216 7.55757 1.43468
3.8 0.009756 44.6213 1.87727 8.13056 1.51272
3.8 0.010298 44.24 2.02272 8.55727 1.58523
3.8 0.01084 41.6476 1.70459 9.07137 1.64826
3.8 0.011382 39.7706 1.97497 9.62761 1.69893
3.8 0.011924 39.5996 1.79036 10.2172 1.73556
3.8 0.012466 40.2051 1.89401 10.8497 1.75769
