# continuum noise resolution SB linemask DLAmask DLAcompleteness BALcompleteness
0.125638 0.201789 0.757815 0.0469232 0 0.0139607 0.0448651 0.0108539
0.123678 0.21919 0.805051 0.047242 0 0.0133136 0.043274 0.0103234
0.119263 0.239264 0.835571 0.0477556 0 0.0125078 0.0409261 0.00962941
0.116562 0.261606 0.876835 0.0486692 0 0.0120056 0.0392638 0.00911331
0.118242 0.291327 0.952855 0.0502092 0 0.0120853 0.0391296 0.00896093
0.109626 0.321197 0.94436 0.0526139 0 0.0112588 0.0356677 0.00806052
0.0995774 0.35501 0.915152 0.056123 0 0.0104233 0.0318759 0.00710997
0.100723 0.394218 0.985732 0.0609642 0 0.0109108 0.031744 0.00698966
0.104028 0.438924 1.08222 0.0673372 0 0.011843 0.0322985 0.00702164
0.10101 0.497418 1.11519 0.0753955 0 0.0122658 0.0309137 0.00663651
0.697254 0.0900765 0.0137441 0.0587211 0.557253 0.0298928 1.3702 0.511968
0.578611 0.0906789 0.0277947 0.0530934 0.494173 0.028019 0.838801 0.306733
0.554706 0.0914894 0.0494251 0.047562 0.488255 0.0291419 0.642554 0.230066
0.504553 0.0928771 0.0721232 0.0423728 0.450878 0.02822 0.489978 0.17185
0.457804 0.0941867 0.0959516 0.0377308 0.412257 0.0269591 0.384836 0.132269
0.418177 0.0959743 0.12088 0.0337968 0.377917 0.0257319 0.311319 0.1049
0.394674 0.0981784 0.150523 0.0306856 0.357063 0.0252315 0.264703 0.0874744
0.373784 0.100683 0.181878 0.0284655 0.337984 0.0247106 0.228863 0.0742014
0.364849 0.103485 0.220623 0.0271605 0.329347 0.0248412 0.206107 0.065584
0.353723 0.106812 0.260255 0.026753 0.318469 0.0247139 0.185955 0.0580942
0.311236 0.110489 0.273829 0.0271877 0.279254 0.0222393 0.153357 0.0470534
0.288756 0.114875 0.299411 0.0283771 0.257982 0.0210341 0.134161 0.0404402
0.307105 0.120845 0.3707 0.0302073 0.272971 0.0227351 0.135235 0.0400602
0.303787 0.124225 0.422386 0.0325446 0.268382 0.0227863 0.127349 0.0370839
0.275492 0.129945 0.437187 0.0352424 0.241646 0.0208734 0.110365 0.0316017
0.27078 0.136629 0.486518 0.038149 0.235525 0.0206612 0.104015 0.0292945
0.245718 0.141129 0.496317 0.0411146 0.211639 0.0188225 0.0907747 0.0251527
0.251695 0.14873 0.567929 0.043999 0.214328 0.0192943 0.0896604 0.0244491
0.243152 0.157538 0.609452 0.0466783 0.204331 0.0185911 0.0837199 0.022472
0.225788 0.167316 0.625452 0.049052 0.186859 0.0171588 0.0753006 0.0199007
0.235458 0.177585 0.717524 0.0510488 0.191453 0.0177198 0.0762058 0.0198344
0.219169 0.190044 0.73167 0.0526316 0.174627 0.0162695 0.0689583 0.0176799
0.21657 0.203447 0.789021 0.0538022 0.168579 0.0157907 0.0663476 0.01676
0.200055 0.218672 0.792638 0.0546039 0.151615 0.0142612 0.0597618 0.0148773
0.214329 0.235493 0.920536 0.0551232 0.157529 0.0148619 0.0625134 0.0153398
0.204417 0.254489 0.948902 0.0554904 0.145057 0.0137098 0.0582849 0.0141005
0.190171 0.276458 0.951481 0.0558774 0.129616 0.0122574 0.0530659 0.0126594
0.19014 0.299544 1.02276 0.0564944 0.123728 0.0116919 0.0519787 0.0122299
0.181309 0.327323 1.046 0.0575845 0.111846 0.0105459 0.0486036 0.0112811
0.17734 0.36087 1.0949 0.0594157 0.102839 0.00965908 0.0466591 0.0106852
0.172593 0.397979 1.138 0.0622705 0.0931302 0.00869586 0.0446058 0.0100804
0.172332 0.439019 1.21115 0.066433 0.0854451 0.00791099 0.0437831 0.00976588
0.157367 0.485358 1.1767 0.0721733 0.0705628 0.00645536 0.0393311 0.00866027
0.15682 0.538856 1.24547 0.0797284 0.062284 0.00560145 0.038583 0.00838789
0.145439 0.602211 1.22488 0.0892806 0.0497357 0.00436148 0.0352469 0.00756674
0.748361 0.0948452 0.0145875 0.0682049 2.46119 0.0176908 1.49411 0.558266
0.705025 0.095474 0.0310882 0.0617663 2.31981 0.0231658 0.963881 0.352473
0.683517 0.0963009 0.0538601 0.0554089 2.24902 0.0279108 0.719388 0.257576
0.706253 0.0977212 0.08739 0.0494249 2.32248 0.0336275 0.609959 0.21393
0.628002 0.0988385 0.112436 0.0440593 2.06264 0.0334398 0.463306 0.15924
0.58034 0.101018 0.142073 0.0395051 1.90242 0.033537 0.375932 0.126671
0.526392 0.10301 0.169056 0.0359008 1.72089 0.0322635 0.305447 0.100939
0.508613 0.105416 0.207606 0.0333308 1.65682 0.0324576 0.268404 0.0870211
0.499199 0.107532 0.252571 0.0318266 1.61882 0.0326584 0.242429 0.0771417
0.478269 0.11174 0.293919 0.0313707 1.54238 0.0316481 0.215776 0.0674105
0.451098 0.114133 0.33112 0.0319006 1.44511 0.0298324 0.190538 0.0584614
0.410887 0.119997 0.355191 0.0333157 1.30599 0.0268601 0.163531 0.0492932
0.416212 0.12324 0.418647 0.0354836 1.31086 0.0266192 0.156928 0.0464864
0.401438 0.129332 0.46497 0.0382482 1.25104 0.0248723 0.144048 0.0419467
0.39806 0.135283 0.526119 0.0414382 1.22562 0.0236648 0.136475 0.0390781
0.387036 0.140514 0.579088 0.0448754 1.17544 0.0218699 0.12722 0.0358301
0.347123 0.146094 0.583783 0.0483837 1.03801 0.0184671 0.109719 0.030402
0.330609 0.154465 0.621013 0.0517978 0.971541 0.0164011 0.10075 0.027473
0.336078 0.163056 0.701083 0.0549717 0.968519 0.015395 0.0989709 0.0265656
0.332313 0.173671 0.765909 0.0577867 0.937008 0.0139155 0.0947638 0.0250445
0.307863 0.183341 0.780285 0.0601582 0.847226 0.011664 0.0851685 0.0221672
0.300232 0.195749 0.833219 0.0620421 0.80418 0.0101848 0.0807082 0.0206924
0.290683 0.209498 0.87988 0.06344 0.755541 0.008738 0.0760434 0.0192093
0.298003 0.22409 0.980302 0.0644027 0.749113 0.00786047 0.075967 0.0189115
0.280882 0.241641 1.00081 0.0650319 0.680327 0.00644667 0.069858 0.017142
0.272155 0.261245 1.04711 0.065481 0.632495 0.00540528 0.0661112 0.0159938
0.275242 0.281678 1.14024 0.0659528 0.610859 0.00472946 0.0653695 0.0155945
0.264302 0.307255 1.17578 0.0666957 0.557132 0.00396292 0.0614272 0.0144531
0.254511 0.331732 1.21283 0.067997 0.506385 0.00340285 0.0579341 0.0134468
0.243822 0.361411 1.24171 0.0701733 0.454555 0.00302023 0.0544005 0.0124581
0.252273 0.400736 1.37003 0.0735591 0.436878 0.00305734 0.0552096 0.0124768
0.24245 0.43918 1.4012 0.0784906 0.38596 0.00306464 0.0520794 0.0116164
0.232743 0.487592 1.4287 0.0852876 0.336222 0.0032638 0.0491006 0.0108114
0.237567 0.540374 1.54614 0.0942314 0.306392 0.00388178 0.0492504 0.010707
0.24841 0.594114 1.71116 0.105538 0.27998 0.00488388 0.0506332 0.0108698
0.826809 0.100622 0.0178762 0.0966236 3.61862 0.0610507 1.79658 0.671282
0.776566 0.10149 0.0387491 0.0877345 3.40586 0.0449284 1.17885 0.431084
0.79709 0.10259 0.0722774 0.0788876 3.49668 0.0344838 0.947255 0.339164
0.666313 0.103394 0.0961679 0.0705132 2.91782 0.0201295 0.65862 0.230998
0.641077 0.1052 0.135264 0.0629739 2.79645 0.0120602 0.546905 0.187973
0.627112 0.10683 0.182235 0.0565576 2.71897 0.00573058 0.473142 0.159426
0.551247 0.109422 0.211037 0.051474 2.37023 0.000668669 0.37413 0.123636
0.495693 0.11196 0.241528 0.0478537 2.10885 0.00246876 0.306387 0.099336
0.518892 0.114392 0.313017 0.0457503 2.17916 0.00492953 0.294794 0.0938047
0.510798 0.119533 0.372936 0.0451456 2.11266 0.00635386 0.268631 0.0839229
0.468519 0.122516 0.406255 0.0459556 1.90397 0.00652149 0.229371 0.070376
0.441798 0.127884 0.44776 0.0480397 1.7599 0.00622273 0.202264 0.0609688
0.437332 0.133216 0.511054 0.0512107 1.70364 0.00572698 0.187954 0.055677
0.432024 0.138255 0.575332 0.0552458 1.64186 0.00480329 0.174874 0.0509232
0.391094 0.143865 0.587575 0.0598988 1.44646 0.00325561 0.149538 0.0428185
0.396759 0.145105 0.666637 0.064913 1.42443 0.00193743 0.143685 0.0404673
0.398415 0.156107 0.743007 0.0700339 1.38478 0.000381756 0.137003 0.0379619
0.399515 0.1643 0.82156 0.075022 1.3405 0.00131632 0.130761 0.0356567
0.380455 0.17417 0.857826 0.0796652 1.22853 0.00294075 0.118803 0.0318888
0.367485 0.18485 0.904077 0.0837903 1.13811 0.00448705 0.109736 0.0290015
0.37 0.19617 0.989052 0.0872737 1.09481 0.00614596 0.105905 0.0275643
0.379662 0.208314 1.0988 0.0900504 1.06861 0.00790258 0.104409 0.026769
0.356007 0.224628 1.1122 0.0921216 0.948286 0.00879849 0.0942917 0.023819
0.368 0.239383 1.23793 0.0935599 0.922043 0.0103806 0.0941031 0.0234264
0.3908 0.257207 1.41272 0.0945128 0.914309 0.012193 0.0967276 0.0237354
0.34239 0.27975 1.32797 0.0952026 0.741241 0.0115032 0.0822412 0.0198961
0.333666 0.300422 1.38688 0.0959242 0.660815 0.01178 0.0779878 0.0186047
0.373168 0.328649 1.66094 0.0970389 0.666105 0.0135194 0.0851108 0.0200255
0.321579 0.355021 1.53211 0.0989654 0.507124 0.0116633 0.0717807 0.0166606
0.291196 0.388263 1.485 0.102166 0.394445 0.0102835 0.0638083 0.0146125
0.307831 0.428447 1.68088 0.107128 0.343399 0.0102335 0.0664323 0.015013
0.317707 0.468621 1.85884 0.114343 0.27235 0.00950437 0.0677564 0.0151132
0.331924 0.521301 2.08316 0.12428 0.191321 0.00835235 0.0702099 0.0154594
0.331386 0.572008 2.23429 0.137349 0.089158 0.00622615 0.0697934 0.015173
0.284201 0.636121 2.06252 0.153869 0.0198234 0.00299725 0.0598472 0.0128479
0.813488 0.122152 0.0247136 0.133374 1.43754 0.088528 2.16175 0.807727
0.858238 0.123924 0.0583279 0.121655 1.51168 0.103958 1.54442 0.564765
0.703808 0.124949 0.0844618 0.109821 1.23347 0.0932119 0.963394 0.344942
0.716018 0.126631 0.133233 0.098506 1.24631 0.102207 0.794113 0.278519
